Engine Speed,Vehicle Speed,Gear
2387.402012,11.217983,1.0
2404.357639,12.021733,1.0
2425.077622,12.792272,1.0
2446.447477,13.536261,1.0
2467.915394,14.256672,1.0
2493.035333,14.949021,1.0
2519.424441,15.619547,1.0
2544.855708,16.271694,1.0
2570.056769,16.906439,1.0
2595.727803,17.522588,1.0
2622.633557,18.120963,1.0
2649.546562,18.704583,1.0
2675.094319,19.274975,1.0
2699.537222,19.832271,1.0
2723.413214,20.376781,1.0
2748.446608,20.907196,1.0
2778.553789,21.418339,1.0
2808.736267,21.9185,1.0
2840.77812,22.407053,1.0
2873.557284,22.886894,1.0
2908.135749,23.360781,1.0
2946.135091,23.829256,1.0
2982.808022,24.29702,1.0
3061.533291,24.760896,1.0
3135.962038,25.26692,1.0
3179.884965,25.806535,1.0
3223.72222,26.345657,1.0
3273.305041,26.877755,1.0
3321.543708,27.410324,1.0
3372.738974,27.939828,1.0
3422.172064,28.470974,1.0
3472.830611,29.000955,1.0
3524.001667,29.530194,1.0
3574.505846,30.060077,1.0
3625.089453,30.589908,1.0
3673.483563,31.120232,1.0
3720.534289,31.648206,1.0
3770.077506,32.170519,1.0
3822.152682,32.686693,1.0
3870.035494,33.203457,1.0
3920.965599,33.713256,1.0
3968.020069,34.223536,1.0
4017.526751,34.727726,1.0
4063.567532,35.23164,1.0
4111.33209,35.729888,1.0
4156.060616,36.226694,1.0
4202.598498,36.717856,1.0
4246.495104,37.20748,1.0
4291.361804,37.692174,1.0
