Engine Speed,Vehicle Speed,Gear,Throttle
2573.3,33.1,2.0,47.2
2590.8,33.6,2.0,47.2
2601.1,33.8,2.0,47.1
2618.1,34.3,2.0,47.3
2628.7,34.5,2.0,47.2
2647.7,35.0,2.0,47.1
2658.3,35.2,2.0,47.2
2678.4,35.7,2.0,47.2
2689.4,35.9,2.0,47.2
2709.4,36.4,2.0,47.3
2721.0,36.6,2.0,47.1
2741.9,37.0,2.0,47.1
2753.8,37.2,2.0,47.2
2775.5,37.7,2.0,47.2
2789.0,37.9,2.0,47.2
2799.9,38.1,2.0,47.2
2836.6,38.6,2.0,48.1
2842.3,38.8,2.0,48.2
2868.2,39.2,2.0,48.2
2881.2,39.5,2.0,48.3
2890.7,39.9,2.0,48.2
2924.0,40.1,3.0,48.3
2507.6,40.8,3.0,48.2
2479.9,41.0,3.0,48.2
2473.0,41.2,3.0,48.1
2473.3,41.6,3.0,48.2
2476.0,41.8,3.0,46.2
2448.3,42.2,3.0,47.1
2459.5,42.3,3.0,46.2
2467.4,42.7,3.0,46.3
2461.9,42.9,3.0,46.2
2460.6,43.2,3.0,46.1
2462.1,43.4,3.0,46.1
2467.3,43.8,3.0,46.1
2470.6,43.9,3.0,46.2
2476.8,44.3,3.0,46.1
2479.7,44.4,3.0,46.2
2487.1,44.8,3.0,46.1
2490.7,44.9,3.0,46.1
2511.0,45.3,3.0,46.1
2505.5,45.4,3.0,46.1
0.0,0.0,1.0,46.2
1307.0,0.2,1.0,46.2
1995.7,1.8,1.0,46.3
2125.5,4.3,1.0,46.3
2133.9,6.8,1.0,46.2
2170.4,9.8,1.0,46.2
2209.2,11.8,1.0,46.2
2330.9,15.2,1.0,46.2
2399.8,17.1,1.0,46.3
2453.5,18.5,1.0,46.3
2517.6,19.7,1.0,47.2
2592.7,20.8,1.0,46.2
2677.1,21.9,2.0,46.1
2324.9,23.3,2.0,46.3
2319.6,23.6,2.0,46.3
2326.7,24.3,2.0,47.2
2343.2,24.6,2.0,46.2
2345.3,25.2,2.0,46.2
2351.8,25.6,2.0,46.3
2368.9,26.2,2.0,46.2
2375.6,26.5,2.0,46.2
2390.4,27.1,2.0,46.1
2396.2,27.3,2.0,46.2
2403.1,27.6,2.0,46.3
