Engine Speed,Vehicle Speed,Gear
5000.017214,160.97764,4.0
4999.97446,160.980403,4.0
5000.082528,160.983128,4.0
5000.268745,160.985861,4.0
5000.494127,160.988624,4.0
5000.499963,160.991429,4.0
5000.520451,160.994211,4.0
5000.51098,160.996973,4.0
5000.666227,160.999707,4.0
5000.497819,161.002463,4.0
5000.362218,161.005144,4.0
5000.458126,161.00776,4.0
5000.936549,161.01038,4.0
5000.7331,161.013119,4.0
5000.84305,161.015773,4.0
5000.893793,161.018436,4.0
5001.22161,161.021089,4.0
5000.886851,161.023815,4.0
5001.286296,161.026418,4.0
5000.857543,161.029115,4.0
5001.645549,161.031661,4.0
5001.144656,161.034417,4.0
5001.468616,161.037,4.0
5001.452055,161.039656,4.0
5001.259937,161.042282,4.0
5001.524107,161.044828,4.0
5001.544117,161.047429,4.0
5001.370497,161.050012,4.0
5001.603468,161.052521,4.0
5001.654803,161.055075,4.0
5002.005876,161.057622,4.0
5001.877225,161.06025,4.0
5001.359453,161.062816,4.0
5002.052209,161.065205,4.0
5001.592661,161.067778,4.0
5002.354906,161.070191,4.0
5001.830084,161.072809,4.0
5002.233367,161.075247,4.0
5001.986613,161.077783,4.0
5002.124977,161.080222,4.0
5002.058781,161.082681,4.0
5003.039005,161.085097,4.0
5002.341859,161.087783,4.0
5002.30056,161.090237,4.0
5002.373214,161.092656,4.0
5002.875796,161.095076,4.0
5002.849419,161.097622,4.0
5002.15276,161.100138,4.0
5002.689202,161.102424,4.0
5002.78674,161.104849,4.0
5003.019364,161.10728,4.0
5003.227735,161.109758,4.0
5002.964406,161.112276,4.0
5002.919697,161.114693,4.0
5003.25715,161.117075,4.0
5003.392293,161.119535,4.0
5003.353832,161.122013,4.0
5003.347175,161.124457,4.0
5003.254349,161.126877,4.0
5003.547371,161.129248,4.0
5003.584184,161.131684,4.0
5003.589339,161.134108,4.0
5003.308489,161.136513,4.0
5003.634619,161.138812,4.0
5003.319449,161.141187,4.0
5003.571263,161.143448,4.0
5003.798321,161.145762,4.0
5003.819143,161.148123,4.0
5004.063509,161.150468,4.0
5003.76428,161.152865,4.0
5004.305242,161.155151,4.0
5003.977675,161.157577,4.0
5003.862653,161.159884,4.0
5003.970901,161.162136,4.0
5004.302625,161.1644,4.0
5004.197522,161.166741,4.0
5004.304995,161.16903,4.0
5003.923222,161.17133,4.0
5004.343309,161.173497,4.0
5004.140847,161.175768,4.0
5004.528251,161.177958,4.0
5004.543772,161.180244,4.0
5004.204962,161.182513,4.0
5004.722267,161.184662,4.0
5004.792875,161.186944,4.0
5004.735102,161.189226,4.0
5004.911792,161.191471,4.0
5004.886943,161.193748,4.0
5005.189742,161.195997,4.0
5004.90454,161.198315,4.0
5004.647014,161.200528,4.0
5005.200897,161.202644,4.0
5004.920599,161.204905,4.0
5005.136229,161.207063,4.0
5005.287238,161.209265,4.0
5005.186666,161.211492,4.0
5005.501462,161.213669,4.0
5005.29176,161.21592,4.0
5005.441709,161.218088,4.0
5005.049993,161.220281,4.0
5005.230284,161.222338,4.0
5005.57001,161.224429,4.0
5005.697176,161.226603,4.0
5005.758581,161.228794,4.0
5005.277891,161.230984,4.0
5005.526602,161.233012,4.0
5005.958934,161.235095,4.0
5002.691816,161.237287,4.0
4995.860313,161.238496,4.0
4982.506527,161.237706,4.0
4972.112168,161.233136,4.0
4956.46008,161.225745,4.0
4945.038546,161.214247,4.0
4936.794166,161.199898,4.0
4935.610125,161.183588,4.0
4935.465385,161.167109,4.0
4935.680957,161.150721,4.0
4935.442359,161.134512,4.0
4934.969332,161.11837,4.0
4934.609609,161.102234,4.0
4934.251707,161.086133,4.0
4933.894569,161.070067,4.0
4934.34643,161.054036,4.0
4933.193207,161.038242,4.0
4932.832233,161.022281,4.0
4933.055548,161.006355,4.0
4932.709513,160.990607,4.0
4932.360051,160.974894,4.0
4931.318221,160.959216,4.0
4931.192661,160.943398,4.0
4931.07557,160.927672,4.0
4930.844828,160.912038,4.0
4929.690114,160.896467,4.0
4930.259482,160.880728,4.0
4929.227162,160.865254,4.0
4928.991401,160.84964,4.0
4928.877276,160.834089,4.0
4928.303254,160.81863,4.0
4928.073095,160.803147,4.0
4927.614796,160.787726,4.0
4927.618086,160.77231,4.0
4926.932122,160.757014,4.0
4926.588905,160.741665,4.0
4926.247919,160.726349,4.0
4926.717689,160.711066,4.0
4925.459471,160.69602,4.0
4925.117017,160.680774,4.0
4925.472775,160.665562,4.0
4924.561829,160.650556,4.0
0.0,0.0,1.0
373.648947,0.0,1.0
786.167315,0.0301,1.0
1210.370597,0.153547,1.0
1611.199855,0.457144,1.0
1916.780226,0.996259,1.0
2118.832131,1.750058,1.0
2242.411282,2.65236,1.0
2312.004215,3.647841,1.0
2347.438811,4.692222,1.0
2363.577324,5.747813,1.0
2371.796506,6.786079,1.0
2377.018216,7.796657,1.0
2386.526911,8.767256,1.0
2398.316703,9.704517,1.0
2413.758949,10.601819,1.0
2430.214833,11.46517,1.0
2448.298316,12.295415,1.0
2470.40363,13.091396,1.0
2493.702773,13.860212,1.0
2517.682545,14.604961,1.0
2545.396922,15.321762,1.0
2573.900959,16.017277,1.0
2602.427145,16.694499,1.0
2629.924835,17.355305,1.0
2658.939755,17.997087,1.0
2688.222295,18.622184,1.0
2718.073199,19.232667,1.0
2746.753357,19.830588,1.0
2773.845467,20.416184,1.0
2800.587586,20.989278,1.0
2828.917504,21.547577,1.0
2861.397093,22.087336,1.0
2894.212143,22.615881,1.0
2929.553311,23.132361,1.0
2964.831473,23.641328,1.0
3003.218914,24.143938,1.0
3043.590737,24.642518,1.0
3083.29983,25.140326,1.0
3125.737679,25.633492,1.0
3170.653489,26.122228,1.0
3214.625722,26.609739,1.0
3260.274738,27.094069,1.0
3303.338647,27.57848,1.0
3350.802182,28.057444,1.0
3394.290306,28.538627,1.0
3438.46329,29.016257,1.0
3483.45631,29.49228,1.0
3525.730751,29.968421,1.0
3569.529782,30.440956,1.0
3618.721181,30.906114,1.0
3661.347722,31.375852,1.0
3707.988395,31.83767,1.0
3750.506407,32.300619,1.0
3795.978557,32.757748,1.0
3837.978653,33.215414,1.0
3881.049911,33.668178,2.0
3060.425933,34.82796,2.0
2921.18375,35.305346,2.0
2882.538542,35.687036,2.0
2878.082349,36.036208,2.0
2886.637173,36.37083,2.0
2898.150339,36.700451,2.0
2909.450006,37.027123,2.0
2922.25921,37.350779,2.0
2933.910557,37.672493,2.0
2947.198435,37.991054,2.0
2961.715561,38.307329,2.0
2975.30843,38.622274,2.0
2988.388602,38.935708,2.0
3001.087014,39.247776,2.0
3013.521519,39.558329,2.0
3028.134728,39.86701,2.0
3043.006409,40.1748,2.0
3057.828786,40.481942,2.0
3073.528862,40.788466,2.0
3088.784729,41.0714,2.0
3101.54029,41.354918,2.0
3115.159961,41.637465,2.0
3128.868838,41.919641,2.0
3142.626365,42.201541,2.0
3156.685512,42.482474,2.0
3173.378294,42.76178,2.0
3187.778153,43.041789,2.0
3202.77832,43.320585,2.0
3217.724459,43.598763,2.0
3232.929885,43.876344,2.0
3247.094166,44.153508,2.0
3264.382324,44.428926,2.0
3278.462347,44.705535,2.0
3293.543566,44.980439,2.0
3309.466791,45.25466,2.0
3325.120315,45.529003,2.0
3339.495247,45.803252,2.0
3355.037629,46.076345,2.0
3370.337195,46.349018,2.0
3386.034399,46.620967,2.0
3401.097182,46.892644,2.0
3417.654799,47.163502,2.0
3432.421809,47.435005,2.0
3447.830451,47.705488,2.0
3462.445779,47.975631,2.0
3478.232206,48.244765,2.0
3493.255873,48.514027,2.0
3507.80419,48.782755,2.0
3523.340402,49.05059,2.0
3538.120185,49.318471,2.0
3553.52429,49.585764,2.0
3567.95891,49.853062,2.0
3582.946685,50.11956,2.0
3597.420484,50.385797,2.0
3612.354844,50.651377,2.0
3625.883747,50.916744,2.0
3644.2918,51.179088,2.0
3655.949789,51.444154,2.0
3675.708634,51.70377,2.0
3686.001821,51.967884,2.0
